1600.0,3.0,2.0
2400.0,3.0,2.0
1416.0,2.0,1.0
3000.0,4.0,3.0
1985.0,4.0,3.0
1534.0,3.0,2.0
1427.0,3.0,2.0
1380.0,3.0,2.0
1494.0,3.0,2.0
1940.0,4.0,3.0
2000.0,3.0,2.0
1890.0,3.0,2.0
4478.0,5.0,3.0
1268.0,3.0,2.0
2300.0,4.0,3.0
1320.0,2.0,1.0
1236.0,3.0,2.0
2609.0,4.0,3.0
3031.0,4.0,3.0
1767.0,3.0,2.0
1888.0,2.0,1.0
1604.0,3.0,2.0
1962.0,4.0,3.0
3890.0,3.0,2.0
1100.0,3.0,2.0
1458.0,3.0,2.0
2526.0,3.0,2.0
2200.0,3.0,2.0
2637.0,3.0,2.0
1839.0,2.0,1.0
1000.0,1.0,1.0
2040.0,4.0,3.0
3137.0,3.0,2.0
1811.0,4.0,3.0
1437.0,3.0,2.0
1239.0,3.0,2.0
2132.0,4.0,3.0
4215.0,4.0,3.0
2162.0,4.0,3.0
1664.0,2.0,1.0
2238.0,3.0,2.0
2567.0,4.0,3.0
1200.0,3.0,2.0
852.0,2.0,1.0
1852.0,4.0,3.0
1203.0,3.0,2.0
832.0,3.0,2.0
2852.0,3.0,2.0
2203.0,3.0,2.0
